CIIU Seccion,Tamaño muestral,N° empresas,Distribución %,CV
G,882,16969,18.470061933321,0.06463395737858803
F,565,15048,16.37913206273878,0.06349128523717251
C,783,11639,12.66857509823343,0.09370658563146106
A,369,7906,8.60535739553514,0.03569219273593465
I,887,7417,8.07310091104024,0.0860412292179921
M,291,7336,7.984935726492005,0.13166473418824814
N,526,6943,7.557171312572791,0.10039788958517862
H,552,6724,7.318798776572007,0.06630959733623919
J,199,3242,3.528784300066396,0.13962653180970142
L,221,2581,2.809312855790058,0.17558317563413642
D,36,1020,1.1102282498666638,0.5334103622856992
E,148,951,1.0351245741403896,0.21181122075363107
K,69,879,0.956755521208625,0.13975610503733182
Q,80,874,0.9513132258661412,0.24999904370389023
R,125,702,0.7640982660847039,0.16923858180525517
P,49,647,0.7042330173173837,0.23151621467706074
S,148,586,0.6378370141390832,0.14871507396036088
O,24,283,0.30803391638457434,0.3585518525713043
B,11,126,0.13714584263058788,0.4012445943028839
Total,5965,91873,100,0.07794185719159147
