Región,Tamaño muestral,N° trabajadores,Distribución %,CV
13,468,2983952,58.201240658199524,0.11929786690526122
5,550,365547,7.129903201821899,0.14100913224186196
8,530,283912,5.537632856611213,0.08885284054651184
2,339,272138,5.307983918722922,0.6179333409089561
6,472,239185,4.6652438600994435,0.12154670240421822
7,504,201082,3.9220543339946743,0.1502977268744844
10,482,174390,3.4014335211770885,0.0926096999733974
4,295,144349,2.8154912973702135,0.3385784378156124
9,405,135225,2.6375299495451103,0.08537781530532977
14,346,97819,1.9079352348645082,0.4192489633631584
16,388,65345,1.274537951954337,0.10787826908036302
1,218,59815,1.1666766791054966,0.1845289918621182
3,298,38820,0.7571744325482801,0.1027842388827571
12,299,34252,0.668076730129925,0.11305032336810089
15,236,16377,0.31942930659049934,0.09216802621458985
11,135,14748,0.28765606726486437,0.18659102869698568
Total,5965,5126956,100,1.8758163921515664e-4
